time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-05T02:14:06.810Z,44.5963333,-110.6826667,7.56,2.51,ml,23,50,0.02961,0.2,uu,uu60519237,2022-10-05T13:22:27.680Z,"34 km ESE of West Yellowstone, Montana",earthquake,0.35,0.7,0.268,6,reviewed,uu,uu
2022-10-05T01:48:53.304Z,-24.0426,-66.9408,202.517,4.4,mb,36,105,1.572,0.92,us,us6000iqxh,2022-10-05T02:03:46.040Z,"Salta, Argentina",earthquake,10.11,5.441,0.091,36,reviewed,us,us
2022-10-05T01:28:03.627Z,63.5523,-148.0527,1.5,2.8,ml,,,,0.63,ak,ak022crs5x7r,2022-10-05T02:13:36.040Z,"47 km ESE of Denali Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-10-05T01:00:09.280Z,19.0215,-155.443333333333,39.49,2.78,md,39,211,,0.17,hv,hv73167262,2022-10-06T00:16:51.330Z,"15 km ESE of Naalehu, Hawaii",earthquake,0.53,0.78,0.256710112334247,18,reviewed,hv,hv
2022-10-05T00:50:42.031Z,-20.301,-69.3155,96.481,4.7,mb,48,64,0.22,0.65,us,us6000iqx9,2022-10-05T03:43:04.449Z,"87 km E of Iquique, Chile",earthquake,2.92,5.439,0.113,24,reviewed,us,us
2022-10-05T00:31:45.232Z,58.389,-133.2203,7.469,2.5,ml,13,182,0.625,0.37,us,us6000iqx7,2022-10-05T00:59:03.040Z,"Southeastern Alaska",earthquake,3.07,6.515,0.077,22,reviewed,us,us
2022-10-05T00:21:29.623Z,38.5113,45.0375,15,5.6,mww,104,59,1.567,0.82,us,us6000iqx6,2022-10-06T00:25:48.643Z,"Northwestern Iran",earthquake,5.89,1.823,0.057,30,reviewed,us,us
2022-10-04T23:59:05.899Z,44.2036,-115.0854,10,3.1,ml,20,70,0.804,0.81,us,us6000iqwy,2022-10-05T00:21:09.040Z,"11 km W of Stanley, Idaho",earthquake,2.06,2.011,0.035,110,reviewed,us,us
2022-10-04T22:11:50.404Z,-7.6776,130.1255,40.19,5.1,mb,82,38,1.201,1.04,us,us6000iqvx,2022-10-04T22:33:03.040Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,5.63,4.094,0.067,73,reviewed,us,us
2022-10-04T21:41:09.987Z,44.3921,9.0472,8.399,3.1,ml,29,53,0.346,0.64,us,us6000iqv4,2022-10-05T13:07:19.460Z,"2 km NW of Bogliasco, Italy",earthquake,2.6,9.952,0.064,32,reviewed,us,us
2022-10-04T21:36:28.440Z,19.0961,-68.2375,32,3.45,md,11,276,0.5997,0.39,pr,pr2022277002,2022-10-05T00:40:37.598Z,"59 km NNE of Punta Cana, Dominican Republic",earthquake,2.82,12.4,0.09,10,reviewed,pr,pr
2022-10-04T20:14:43.909Z,-4.9967,104.2793,112.997,4.4,mb,47,115,1.463,0.89,us,us6000iqug,2022-10-05T15:29:41.040Z,"69 km WSW of Kotabumi, Indonesia",earthquake,8.45,7.118,0.091,35,reviewed,us,us
2022-10-04T20:06:52.088Z,63.1555,-159.7243,16.051,2.6,ml,26,59,0.379,0.31,us,us6000iqv0,2022-10-05T14:20:59.040Z,"32 km NNE of Grayling, Alaska",earthquake,2.87,6.216,0.05,52,reviewed,us,us
